initial_z,Zbase,new_Z,initial_mass
0.0284,0.0284,0.0284,53.028790131
0.0284,0.0284,0.0284,54.1755332052
0.0284,0.0284,0.0284,55.3470745008
0.0284,0.0284,0.0284,56.5439502773
0.0284,0.0284,0.0284,57.7667083906
0.0284,0.0284,0.0284,59.015908544
0.0284,0.0284,0.0284,60.2921225444
0.0284,0.0284,0.0284,61.595934564
0.0284,0.0284,0.0284,62.9279414076
0.0284,0.0284,0.0284,64.2887527858
0.0284,0.0284,0.0284,65.6789915943
0.0284,0.0284,0.0284,67.0992941987
0.0284,0.0284,0.0284,68.5503107261
0.0284,0.0284,0.0284,70.0327053624
0.0284,0.0284,0.0284,71.5471566566
0.0284,0.0284,0.0284,73.0943578312
0.0284,0.0284,0.0284,74.6750170995
0.0284,0.0284,0.0284,76.28985799
0.0284,0.0284,0.0284,77.9396196773
0.0284,0.0284,0.0284,79.6250573207
0.0284,0.0284,0.0284,81.3469424097
0.0284,0.0284,0.0284,83.1060631173
0.0284,0.0284,0.0284,84.9032246605
0.0284,0.0284,0.0284,86.7392496691
0.0284,0.0284,0.0284,88.6149785624
0.0284,0.0284,0.0284,90.5312699333
0.0284,0.0284,0.0284,92.489000942
0.0284,0.0284,0.0284,94.4890677173
0.0284,0.0284,0.0284,96.5323857663
0.0284,0.0284,0.0284,98.6198903943
0.0284,0.0284,0.0284,100.7525371323
0.0284,0.0284,0.0284,102.9313021744
0.0284,0.0284,0.0284,105.1571828252
0.0284,0.0284,0.0284,107.4311979557
0.0284,0.0284,0.0284,109.7543884699
0.0284,0.0284,0.0284,112.1278177813
0.0284,0.0284,0.0284,114.5525722995
0.0284,0.0284,0.0284,117.0297619279
0.0284,0.0284,0.0284,119.5605205712
0.0284,0.0284,0.0284,122.1460066548
0.0284,0.0284,0.0284,124.787403655
0.0284,0.0284,0.0284,127.4859206405
0.0284,0.0284,0.0284,130.2427928263
0.0284,0.0284,0.0284,133.0592821384
0.0284,0.0284,0.0284,135.9366777923
0.0284,0.0284,0.0284,138.8762968823
0.0284,0.0284,0.0284,141.879484985
0.0284,0.0284,0.0284,144.9476167749
0.0284,0.0284,0.0284,148.0820966537
0.0284,0.0284,0.0284,151.2843593931
