initial_z,Zbase,initial_mass
0.0142,0.0142,20.6529359379
0.0142,0.0142,21.0998279281
0.0142,0.0142,21.5563898486
0.0142,0.0142,22.0228309392
0.0142,0.0142,22.499364967
0.0142,0.0142,22.9862103249
0.0142,0.0142,23.4835901314
0.0142,0.0142,23.9917323327
0.0142,0.0142,24.5108698076
0.0142,0.0142,25.0412404737
0.0142,0.0142,25.5830873969
0.0142,0.0142,26.1366589026
0.0142,0.0142,26.7022086893
0.0142,0.0142,27.2799959453
0.0142,0.0142,27.8702854673
0.0142,0.0142,28.4733477814
0.0142,0.0142,29.0894592678
0.0142,0.0142,29.7189022868
0.0142,0.0142,30.3619653084
0.0142,0.0142,31.0189430449
0.0142,0.0142,31.6901365853
0.0142,0.0142,32.3758535338
0.0142,0.0142,33.0764081506
0.0142,0.0142,33.7921214958
0.0142,0.0142,34.5233215767
0.0142,0.0142,35.2703434982
0.0142,0.0142,36.0335296162
0.0142,0.0142,36.8132296943
0.0142,0.0142,37.6098010648
0.0142,0.0142,38.4236087918
0.0142,0.0142,39.2550258386
0.0142,0.0142,40.1044332389
0.0142,0.0142,40.9722202712
0.0142,0.0142,41.8587846375
0.0142,0.0142,42.764532645
0.0142,0.0142,43.6898793929
0.0142,0.0142,44.6352489624
0.0142,0.0142,45.6010746108
0.0142,0.0142,46.5877989705
0.0142,0.0142,47.5958742516
0.0142,0.0142,48.6257624494
0.0142,0.0142,49.6779355556
0.0142,0.0142,50.7528757751
0.0142,0.0142,51.8510757469
0.0142,0.0142,52.9730387698
0.0142,0.0142,54.119279033
0.0142,0.0142,55.2903218517
0.0142,0.0142,56.4867039084
0.0142,0.0142,57.7089734979
0.0142,0.0142,58.9576907795
0.0142,0.0142,60.2334280331
0.0142,0.0142,61.5367699217
0.0142,0.0142,62.8683137597
0.0142,0.0142,64.2286697857
0.0142,0.0142,65.6184614433
0.0142,0.0142,67.0383256659
0.0142,0.0142,68.4889131692
0.0142,0.0142,69.9708887492
0.0142,0.0142,71.4849315868
0.0142,0.0142,73.0317355591
0.0142,0.0142,74.6120095575
0.0142,0.0142,76.2264778126
0.0142,0.0142,77.8758802259
0.0142,0.0142,79.5609727091
0.0142,0.0142,81.2825275305
0.0142,0.0142,83.0413336687
0.0142,0.0142,84.8381971745
0.0142,0.0142,86.6739415402
0.0142,0.0142,88.5494080769
0.0142,0.0142,90.4654563002
0.0142,0.0142,92.422964324
0.0142,0.0142,94.422829263
0.0142,0.0142,96.4659676439
0.0142,0.0142,98.5533158253
0.0142,0.0142,100.6858304268
0.0142,0.0142,102.8644887679
0.0142,0.0142,105.090289315
0.0142,0.0142,107.3642521398
0.0142,0.0142,109.6874193864
0.0142,0.0142,112.0608557492
0.0142,0.0142,114.4856489604
0.0142,0.0142,116.9629102888
0.0142,0.0142,119.4937750491
0.0142,0.0142,122.0794031222
0.0142,0.0142,124.7209794865
0.0142,0.0142,127.4197147614
0.0142,0.0142,130.1768457619
0.0142,0.0142,132.9936360652
0.0142,0.0142,135.8713765902
0.0142,0.0142,138.811386189
0.0142,0.0142,141.815012251
0.0142,0.0142,144.883631321
0.0142,0.0142,148.0186497294
0.0142,0.0142,151.2215042373
0.0142,0.0142,154.4936626944
0.0142,0.0142,157.8366247124
0.0142,0.0142,161.2519223515
0.0142,0.0142,164.7411208231
0.0142,0.0142,168.3058192069
0.0142,0.0142,171.9476511837
0.0142,0.0142,175.6682857842
0.0142,0.0142,179.469428154
0.0142,0.0142,183.3528203349
0.0142,0.0142,187.3202420633
0.0142,0.0142,191.3735115857
0.0142,0.0142,195.5144864925
0.0142,0.0142,199.7450645687
0.0142,0.0142,204.067184664
0.0142,0.0142,208.4828275813
0.0142,0.0142,212.9940169845
0.0142,0.0142,217.6028203258
0.0142,0.0142,222.3113497933
0.0142,0.0142,227.1217632793
0.0142,0.0142,232.0362653686
0.0142,0.0142,237.0571083494
0.0142,0.0142,242.1865932453
0.0142,0.0142,247.4270708698
0.0142,0.0142,252.7809429038
0.0142,0.0142,258.2506629962
0.0142,0.0142,263.8387378885
0.0142,0.0142,269.5477285632
0.0142,0.0142,275.3802514182
0.0142,0.0142,281.3389794652
0.0142,0.0142,287.4266435553
0.0142,0.0142,293.6460336299
0.0142,0.0142,300.0
